dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Cora,MLP,0,0.01,Vanilla,NA,0.3763837516307831,450,12.72933292388916
Cora,LogReg,0,0.01,Vanilla,NA,0.3025830258302583,NA,0.16772842407226562
Cora,MLP,0,0.01,Identity,NA,0.3025830388069153,5,3.293739080429077
Cora,LogReg,0,0.01,Identity,NA,0.3025830258302583,NA,0.1699678897857666
Cora,MLP,0,0.01,Shuffled,NA,0.2804428040981293,23,3.677891254425049
Cora,LogReg,0,0.01,Shuffled,NA,0.3025830258302583,NA,0.04706215858459473
Cora,MLP,0,0.01,Gaussian,0.1,0.180811807513237,4,2.1534788608551025
Cora,LogReg,0,0.01,Gaussian,0.1,0.3025830258302583,NA,0.26872944831848145
Cora,MLP,0,0.01,Gaussian,0.3,0.17343173921108246,7,2.2258846759796143
Cora,LogReg,0,0.01,Gaussian,0.3,0.3007380073800738,NA,0.10323810577392578
Cora,MLP,0,0.01,Gaussian,0.5,0.180811807513237,7,2.254521131515503
Cora,LogReg,0,0.01,Gaussian,0.5,0.3007380073800738,NA,0.08704781532287598
Cora,LabelProp,0,0.01,Structure,NA,0.1752767527675277,NA,1.1590449810028076
Cora,MLP,0,0.03,Vanilla,NA,0.45571956038475037,230,7.946097373962402
Cora,LogReg,0,0.03,Vanilla,NA,0.3025830258302583,NA,0.30675530433654785
Cora,MLP,0,0.03,Identity,NA,0.3025830388069153,6,3.3149168491363525
Cora,LogReg,0,0.03,Identity,NA,0.3025830258302583,NA,0.09416365623474121
Cora,MLP,0,0.03,Shuffled,NA,0.23800738155841827,25,3.498549222946167
Cora,LogReg,0,0.03,Shuffled,NA,0.3025830258302583,NA,0.14520835876464844
Cora,MLP,0,0.03,Gaussian,0.1,0.20110701024532318,4,2.0770416259765625
Cora,LogReg,0,0.03,Gaussian,0.1,0.3044280442804428,NA,0.0590212345123291
Cora,MLP,0,0.03,Gaussian,0.3,0.19188192486763,3,2.0818095207214355
Cora,LogReg,0,0.03,Gaussian,0.3,0.2952029520295203,NA,0.09098982810974121
Cora,MLP,0,0.03,Gaussian,0.5,0.20110701024532318,3,2.0706541538238525
Cora,LogReg,0,0.03,Gaussian,0.5,0.2952029520295203,NA,0.32821035385131836
Cora,LabelProp,0,0.03,Structure,NA,0.25830258302583026,NA,1.4236247539520264
Cora,MLP,0,0.05,Vanilla,NA,0.4741697311401367,78,4.802520751953125
Cora,LogReg,0,0.05,Vanilla,NA,0.3025830258302583,NA,0.08013463020324707
Cora,MLP,0,0.05,Identity,NA,0.3025830388069153,6,3.3469762802124023
Cora,LogReg,0,0.05,Identity,NA,0.3025830258302583,NA,0.27427077293395996
Cora,MLP,0,0.05,Shuffled,NA,0.23616236448287964,22,2.5723724365234375
Cora,LogReg,0,0.05,Shuffled,NA,0.3025830258302583,NA,0.07753372192382812
Cora,MLP,0,0.05,Gaussian,0.1,0.17343173921108246,3,2.1561121940612793
Cora,LogReg,0,0.05,Gaussian,0.1,0.30996309963099633,NA,0.06804537773132324
Cora,MLP,0,0.05,Gaussian,0.3,0.17712177336215973,3,2.9165005683898926
Cora,LogReg,0,0.05,Gaussian,0.3,0.2933579335793358,NA,0.5450911521911621
Cora,MLP,0,0.05,Gaussian,0.5,0.17158672213554382,3,2.157522201538086
Cora,LogReg,0,0.05,Gaussian,0.5,0.2896678966789668,NA,0.14252853393554688
Cora,LabelProp,0,0.05,Structure,NA,0.26199261992619927,NA,1.4091253280639648
Cora,MLP,0,0.1,Vanilla,NA,0.5479704737663269,70,3.484665870666504
Cora,LogReg,0,0.1,Vanilla,NA,0.3025830258302583,NA,0.38224005699157715
Cora,MLP,0,0.1,Identity,NA,0.3025830388069153,6,4.122767448425293
Cora,LogReg,0,0.1,Identity,NA,0.3025830258302583,NA,0.32057714462280273
Cora,MLP,0,0.1,Shuffled,NA,0.23247233033180237,22,2.6895992755889893
Cora,LogReg,0,0.1,Shuffled,NA,0.3025830258302583,NA,0.10825300216674805
Cora,MLP,0,0.1,Gaussian,0.1,0.16789667308330536,4,2.1049249172210693
Cora,LogReg,0,0.1,Gaussian,0.1,0.2915129151291513,NA,0.43067073822021484
Cora,MLP,0,0.1,Gaussian,0.3,0.16605165600776672,3,2.1313085556030273
Cora,LogReg,0,0.1,Gaussian,0.3,0.2564575645756458,NA,0.39576125144958496
Cora,MLP,0,0.1,Gaussian,0.5,0.16236162185668945,4,2.1516273021698
Cora,LogReg,0,0.1,Gaussian,0.5,0.25276752767527677,NA,0.0816657543182373
Cora,LabelProp,0,0.1,Structure,NA,0.16789667896678967,NA,2.216963768005371
Cora,MLP,1,0.01,Vanilla,NA,0.3450184464454651,261,8.24250340461731
Cora,LogReg,1,0.01,Vanilla,NA,0.3025830258302583,NA,0.1359844207763672
Cora,MLP,1,0.01,Identity,NA,0.3025830388069153,2,3.872939109802246
Cora,LogReg,1,0.01,Identity,NA,0.3025830258302583,NA,0.2816014289855957
Cora,MLP,1,0.01,Shuffled,NA,0.2822878360748291,3,2.4151060581207275
Cora,LogReg,1,0.01,Shuffled,NA,0.3025830258302583,NA,0.1796715259552002
Cora,MLP,1,0.01,Gaussian,0.1,0.16236162185668945,4,2.1044247150421143
Cora,LogReg,1,0.01,Gaussian,0.1,0.3025830258302583,NA,0.18011021614074707
Cora,MLP,1,0.01,Gaussian,0.3,0.16605165600776672,2,2.0355966091156006
Cora,LogReg,1,0.01,Gaussian,0.3,0.3044280442804428,NA,0.10116028785705566
Cora,MLP,1,0.01,Gaussian,0.5,0.18450184166431427,2,2.116365671157837
Cora,LogReg,1,0.01,Gaussian,0.5,0.3044280442804428,NA,0.10807132720947266
Cora,LabelProp,1,0.01,Structure,NA,0.1752767527675277,NA,1.0389230251312256
Cora,MLP,1,0.03,Vanilla,NA,0.44464945793151855,279,9.038949966430664
Cora,LogReg,1,0.03,Vanilla,NA,0.3025830258302583,NA,0.2207169532775879
Cora,MLP,1,0.03,Identity,NA,0.3025830388069153,2,3.2347874641418457
Cora,LogReg,1,0.03,Identity,NA,0.3025830258302583,NA,0.09465789794921875
Cora,MLP,1,0.03,Shuffled,NA,0.2822878360748291,3,3.2099056243896484
Cora,LogReg,1,0.03,Shuffled,NA,0.3025830258302583,NA,0.058905839920043945
Cora,MLP,1,0.03,Gaussian,0.1,0.18819187581539154,5,2.14740252494812
Cora,LogReg,1,0.03,Gaussian,0.1,0.3007380073800738,NA,0.23086261749267578
Cora,MLP,1,0.03,Gaussian,0.3,0.19003690779209137,2,2.0485105514526367
Cora,LogReg,1,0.03,Gaussian,0.3,0.2896678966789668,NA,0.36800122261047363
Cora,MLP,1,0.03,Gaussian,0.5,0.18819187581539154,2,2.086796760559082
Cora,LogReg,1,0.03,Gaussian,0.5,0.28413284132841327,NA,0.11390018463134766
Cora,LabelProp,1,0.03,Structure,NA,0.14575645756457564,NA,1.051847219467163
Cora,MLP,1,0.05,Vanilla,NA,0.5129151344299316,76,4.841389894485474
Cora,LogReg,1,0.05,Vanilla,NA,0.3025830258302583,NA,0.36574363708496094
Cora,MLP,1,0.05,Identity,NA,0.2988929748535156,2,3.2033090591430664
Cora,LogReg,1,0.05,Identity,NA,0.3025830258302583,NA,0.35988903045654297
Cora,MLP,1,0.05,Shuffled,NA,0.24723246693611145,3,2.1403074264526367
Cora,LogReg,1,0.05,Shuffled,NA,0.3025830258302583,NA,0.25876307487487793
Cora,MLP,1,0.05,Gaussian,0.1,0.1863468587398529,3,2.095280170440674
Cora,LogReg,1,0.05,Gaussian,0.1,0.2767527675276753,NA,0.14019989967346191
Cora,MLP,1,0.05,Gaussian,0.3,0.16236162185668945,2,2.9816670417785645
Cora,LogReg,1,0.05,Gaussian,0.3,0.25830258302583026,NA,0.09068632125854492
Cora,MLP,1,0.05,Gaussian,0.5,0.1642066389322281,2,2.0804944038391113
Cora,LogReg,1,0.05,Gaussian,0.5,0.25461254612546125,NA,0.09798383712768555
Cora,LabelProp,1,0.05,Structure,NA,0.15682656826568267,NA,1.065211296081543
Cora,MLP,1,0.1,Vanilla,NA,0.6014760136604309,210,6.4701550006866455
Cora,LogReg,1,0.1,Vanilla,NA,0.3025830258302583,NA,0.3075253963470459
Cora,MLP,1,0.1,Identity,NA,0.30627307295799255,2,3.9451205730438232
Cora,LogReg,1,0.1,Identity,NA,0.3025830258302583,NA,0.13323426246643066
Cora,MLP,1,0.1,Shuffled,NA,0.23247233033180237,3,2.1671369075775146
Cora,LogReg,1,0.1,Shuffled,NA,0.3025830258302583,NA,0.09212064743041992
Cora,MLP,1,0.1,Gaussian,0.1,0.20479704439640045,3,2.1222238540649414
Cora,LogReg,1,0.1,Gaussian,0.1,0.2730627306273063,NA,0.06971096992492676
Cora,MLP,1,0.1,Gaussian,0.3,0.1752767562866211,2,2.130741834640503
Cora,LogReg,1,0.1,Gaussian,0.3,0.25276752767527677,NA,0.27629995346069336
Cora,MLP,1,0.1,Gaussian,0.5,0.169741690158844,2,2.9732656478881836
Cora,LogReg,1,0.1,Gaussian,0.5,0.25276752767527677,NA,0.5282840728759766
Cora,LabelProp,1,0.1,Structure,NA,0.3118081180811808,NA,1.0843980312347412
Cora,MLP,2,0.01,Vanilla,NA,0.36531364917755127,165,5.524214267730713
Cora,LogReg,2,0.01,Vanilla,NA,0.3025830258302583,NA,0.1114952564239502
Cora,MLP,2,0.01,Identity,NA,0.3025830388069153,4,3.5108652114868164
Cora,LogReg,2,0.01,Identity,NA,0.3025830258302583,NA,0.12877368927001953
Cora,MLP,2,0.01,Shuffled,NA,0.25276753306388855,25,3.3382980823516846
Cora,LogReg,2,0.01,Shuffled,NA,0.3025830258302583,NA,0.0398101806640625
Cora,MLP,2,0.01,Gaussian,0.1,0.20479704439640045,61,3.3040308952331543
Cora,LogReg,2,0.01,Gaussian,0.1,0.3025830258302583,NA,0.19693660736083984
Cora,MLP,2,0.01,Gaussian,0.3,0.2066420614719391,11,2.257784605026245
Cora,LogReg,2,0.01,Gaussian,0.3,0.3025830258302583,NA,0.4987955093383789
Cora,MLP,2,0.01,Gaussian,0.5,0.20110701024532318,46,3.590020179748535
Cora,LogReg,2,0.01,Gaussian,0.5,0.3025830258302583,NA,0.2991816997528076
Cora,LabelProp,2,0.01,Structure,NA,0.2066420664206642,NA,1.3889923095703125
Cora,MLP,2,0.03,Vanilla,NA,0.43357932567596436,356,9.522237300872803
Cora,LogReg,2,0.03,Vanilla,NA,0.3025830258302583,NA,0.09313440322875977
Cora,MLP,2,0.03,Identity,NA,0.3025830388069153,4,4.2681238651275635
Cora,LogReg,2,0.03,Identity,NA,0.3025830258302583,NA,0.09118199348449707
Cora,MLP,2,0.03,Shuffled,NA,0.24538744986057281,13,2.422105550765991
Cora,LogReg,2,0.03,Shuffled,NA,0.3025830258302583,NA,0.056488990783691406
Cora,MLP,2,0.03,Gaussian,0.1,0.1974169760942459,11,2.203767776489258
Cora,LogReg,2,0.03,Gaussian,0.1,0.3007380073800738,NA,0.06010031700134277
Cora,MLP,2,0.03,Gaussian,0.3,0.1974169760942459,7,2.156900644302368
Cora,LogReg,2,0.03,Gaussian,0.3,0.2933579335793358,NA,0.10012936592102051
Cora,MLP,2,0.03,Gaussian,0.5,0.20848707854747772,28,3.4959239959716797
Cora,LogReg,2,0.03,Gaussian,0.5,0.2896678966789668,NA,0.2812817096710205
Cora,LabelProp,2,0.03,Structure,NA,0.17712177121771217,NA,1.0990879535675049
Cora,MLP,2,0.05,Vanilla,NA,0.4723247289657593,102,4.2550904750823975
Cora,LogReg,2,0.05,Vanilla,NA,0.3025830258302583,NA,0.32503843307495117
Cora,MLP,2,0.05,Identity,NA,0.3025830388069153,5,3.2502284049987793
Cora,LogReg,2,0.05,Identity,NA,0.3025830258302583,NA,0.41942501068115234
Cora,MLP,2,0.05,Shuffled,NA,0.21586716175079346,15,3.39990496635437
Cora,LogReg,2,0.05,Shuffled,NA,0.3025830258302583,NA,0.06423211097717285
Cora,MLP,2,0.05,Gaussian,0.1,0.20479704439640045,8,2.1266629695892334
Cora,LogReg,2,0.05,Gaussian,0.1,0.2896678966789668,NA,0.2501809597015381
Cora,MLP,2,0.05,Gaussian,0.3,0.20848707854747772,7,2.152109384536743
Cora,LogReg,2,0.05,Gaussian,0.3,0.2785977859778598,NA,0.12901067733764648
Cora,MLP,2,0.05,Gaussian,0.5,0.22140221297740936,9,2.196413278579712
Cora,LogReg,2,0.05,Gaussian,0.5,0.2767527675276753,NA,0.24079370498657227
Cora,LabelProp,2,0.05,Structure,NA,0.17712177121771217,NA,1.0718836784362793
Cora,MLP,2,0.1,Vanilla,NA,0.5479704737663269,75,4.675299644470215
Cora,LogReg,2,0.1,Vanilla,NA,0.3025830258302583,NA,0.08931088447570801
Cora,MLP,2,0.1,Identity,NA,0.3025830388069153,4,3.2342562675476074
Cora,LogReg,2,0.1,Identity,NA,0.3025830258302583,NA,0.47107958793640137
Cora,MLP,2,0.1,Shuffled,NA,0.20479704439640045,11,2.3353147506713867
Cora,LogReg,2,0.1,Shuffled,NA,0.3025830258302583,NA,0.06968998908996582
Cora,MLP,2,0.1,Gaussian,0.1,0.18265682458877563,6,2.2075254917144775
Cora,LogReg,2,0.1,Gaussian,0.1,0.25461254612546125,NA,0.32103443145751953
Cora,MLP,2,0.1,Gaussian,0.3,0.19003690779209137,5,3.10225772857666
Cora,LogReg,2,0.1,Gaussian,0.3,0.24354243542435425,NA,0.23589229583740234
Cora,MLP,2,0.1,Gaussian,0.5,0.17712177336215973,4,2.0620241165161133
Cora,LogReg,2,0.1,Gaussian,0.5,0.23985239852398524,NA,0.0788261890411377
Cora,LabelProp,2,0.1,Structure,NA,0.23247232472324722,NA,1.0632665157318115
Cora,MLP,3,0.01,Vanilla,NA,0.3819188177585602,223,7.1472389698028564
Cora,LogReg,3,0.01,Vanilla,NA,0.3025830258302583,NA,0.19538378715515137
Cora,MLP,3,0.01,Identity,NA,0.3025830388069153,5,3.65405535697937
Cora,LogReg,3,0.01,Identity,NA,0.3025830258302583,NA,0.25063109397888184
Cora,MLP,3,0.01,Shuffled,NA,0.26937270164489746,2,2.1377768516540527
Cora,LogReg,3,0.01,Shuffled,NA,0.3025830258302583,NA,0.04187417030334473
Cora,MLP,3,0.01,Gaussian,0.1,0.18450184166431427,3,2.0917675495147705
Cora,LogReg,3,0.01,Gaussian,0.1,0.3025830258302583,NA,0.06416559219360352
Cora,MLP,3,0.01,Gaussian,0.3,0.18265682458877563,7,2.146641254425049
Cora,LogReg,3,0.01,Gaussian,0.3,0.3007380073800738,NA,0.09997272491455078
Cora,MLP,3,0.01,Gaussian,0.5,0.19372694194316864,22,3.4661765098571777
Cora,LogReg,3,0.01,Gaussian,0.5,0.3007380073800738,NA,0.27657032012939453
Cora,LabelProp,3,0.01,Structure,NA,0.16605166051660517,NA,1.0695314407348633
Cora,MLP,3,0.03,Vanilla,NA,0.4520295262336731,376,10.969683170318604
Cora,LogReg,3,0.03,Vanilla,NA,0.3025830258302583,NA,0.05737495422363281
Cora,MLP,3,0.03,Identity,NA,0.3025830388069153,6,3.2543485164642334
Cora,LogReg,3,0.03,Identity,NA,0.3025830258302583,NA,0.08959221839904785
Cora,MLP,3,0.03,Shuffled,NA,0.24538744986057281,5,2.202324628829956
Cora,LogReg,3,0.03,Shuffled,NA,0.3025830258302583,NA,0.12681198120117188
Cora,MLP,3,0.03,Gaussian,0.1,0.2121771275997162,3,2.0678417682647705
Cora,LogReg,3,0.03,Gaussian,0.1,0.2952029520295203,NA,0.20190668106079102
Cora,MLP,3,0.03,Gaussian,0.3,0.21586716175079346,3,2.639291524887085
Cora,LogReg,3,0.03,Gaussian,0.3,0.26752767527675275,NA,0.5943856239318848
Cora,MLP,3,0.03,Gaussian,0.5,0.20295202732086182,4,2.3126981258392334
Cora,LogReg,3,0.03,Gaussian,0.5,0.26383763837638374,NA,0.11511898040771484
Cora,LabelProp,3,0.03,Structure,NA,0.16236162361623616,NA,1.120915412902832
Cora,MLP,3,0.05,Vanilla,NA,0.5110701322555542,557,14.948411703109741
Cora,LogReg,3,0.05,Vanilla,NA,0.3025830258302583,NA,0.21038579940795898
Cora,MLP,3,0.05,Identity,NA,0.3025830388069153,6,3.326204776763916
Cora,LogReg,3,0.05,Identity,NA,0.3025830258302583,NA,0.11746096611022949
Cora,MLP,3,0.05,Shuffled,NA,0.25276753306388855,7,3.1744186878204346
Cora,LogReg,3,0.05,Shuffled,NA,0.3025830258302583,NA,0.2605431079864502
Cora,MLP,3,0.05,Gaussian,0.1,0.21586716175079346,3,2.0548951625823975
Cora,LogReg,3,0.05,Gaussian,0.1,0.2878228782287823,NA,0.07238101959228516
Cora,MLP,3,0.05,Gaussian,0.3,0.20295202732086182,4,2.142280101776123
Cora,LogReg,3,0.05,Gaussian,0.3,0.25461254612546125,NA,0.08785629272460938
Cora,MLP,3,0.05,Gaussian,0.5,0.20295202732086182,5,2.096569061279297
Cora,LogReg,3,0.05,Gaussian,0.5,0.25461254612546125,NA,0.34561681747436523
Cora,LabelProp,3,0.05,Structure,NA,0.19557195571955718,NA,1.3714637756347656
Cora,MLP,3,0.1,Vanilla,NA,0.5848708748817444,89,4.96502685546875
Cora,LogReg,3,0.1,Vanilla,NA,0.3044280442804428,NA,0.4607839584350586
Cora,MLP,3,0.1,Identity,NA,0.3025830388069153,7,3.366732358932495
Cora,LogReg,3,0.1,Identity,NA,0.3025830258302583,NA,0.1687791347503662
Cora,MLP,3,0.1,Shuffled,NA,0.2121771275997162,4,2.230315923690796
Cora,LogReg,3,0.1,Shuffled,NA,0.3025830258302583,NA,0.21381640434265137
Cora,MLP,3,0.1,Gaussian,0.1,0.19557195901870728,3,2.1440815925598145
Cora,LogReg,3,0.1,Gaussian,0.1,0.26752767527675275,NA,0.384432315826416
Cora,MLP,3,0.1,Gaussian,0.3,0.18450184166431427,3,3.1657235622406006
Cora,LogReg,3,0.1,Gaussian,0.3,0.24354243542435425,NA,0.3093874454498291
Cora,MLP,3,0.1,Gaussian,0.5,0.20110701024532318,3,2.0741350650787354
Cora,LogReg,3,0.1,Gaussian,0.5,0.24354243542435425,NA,0.36760425567626953
Cora,LabelProp,3,0.1,Structure,NA,0.33948339483394835,NA,1.3305702209472656
Cora,MLP,4,0.01,Vanilla,NA,0.41143912076950073,132,4.911203145980835
Cora,LogReg,4,0.01,Vanilla,NA,0.3025830258302583,NA,0.048807382583618164
Cora,MLP,4,0.01,Identity,NA,0.3025830388069153,4,4.351868391036987
Cora,LogReg,4,0.01,Identity,NA,0.3025830258302583,NA,0.05911421775817871
Cora,MLP,4,0.01,Shuffled,NA,0.2656826674938202,5,2.25325083732605
Cora,LogReg,4,0.01,Shuffled,NA,0.3025830258302583,NA,0.18583393096923828
Cora,MLP,4,0.01,Gaussian,0.1,0.180811807513237,6,2.271735906600952
Cora,LogReg,4,0.01,Gaussian,0.1,0.3025830258302583,NA,0.06516361236572266
Cora,MLP,4,0.01,Gaussian,0.3,0.17896679043769836,9,2.306370735168457
Cora,LogReg,4,0.01,Gaussian,0.3,0.3025830258302583,NA,0.14740586280822754
Cora,MLP,4,0.01,Gaussian,0.5,0.18450184166431427,6,2.842747926712036
Cora,LogReg,4,0.01,Gaussian,0.5,0.3025830258302583,NA,0.19081377983093262
Cora,LabelProp,4,0.01,Structure,NA,0.18265682656826568,NA,1.665315866470337
Cora,MLP,4,0.03,Vanilla,NA,0.5276752710342407,530,14.487099170684814
Cora,LogReg,4,0.03,Vanilla,NA,0.3025830258302583,NA,0.05683422088623047
Cora,MLP,4,0.03,Identity,NA,0.3025830388069153,4,3.2595221996307373
Cora,LogReg,4,0.03,Identity,NA,0.3025830258302583,NA,0.10390520095825195
Cora,MLP,4,0.03,Shuffled,NA,0.25830256938934326,5,2.2535312175750732
Cora,LogReg,4,0.03,Shuffled,NA,0.3025830258302583,NA,0.057637929916381836
Cora,MLP,4,0.03,Gaussian,0.1,0.18265682458877563,6,2.835268974304199
Cora,LogReg,4,0.03,Gaussian,0.1,0.2952029520295203,NA,0.563835620880127
Cora,MLP,4,0.03,Gaussian,0.3,0.17158672213554382,5,2.359127998352051
Cora,LogReg,4,0.03,Gaussian,0.3,0.2933579335793358,NA,0.09810924530029297
Cora,MLP,4,0.03,Gaussian,0.5,0.18265682458877563,5,2.157787561416626
Cora,LogReg,4,0.03,Gaussian,0.5,0.2915129151291513,NA,0.29323840141296387
Cora,LabelProp,4,0.03,Structure,NA,0.2564575645756458,NA,1.4135801792144775
Cora,MLP,4,0.05,Vanilla,NA,0.5701106786727905,69,3.5354104042053223
Cora,LogReg,4,0.05,Vanilla,NA,0.3025830258302583,NA,0.07687091827392578
Cora,MLP,4,0.05,Identity,NA,0.3025830388069153,4,4.369585037231445
Cora,LogReg,4,0.05,Identity,NA,0.3025830258302583,NA,0.3911106586456299
Cora,MLP,4,0.05,Shuffled,NA,0.2398523986339569,5,2.1887474060058594
Cora,LogReg,4,0.05,Shuffled,NA,0.3025830258302583,NA,0.3419764041900635
Cora,MLP,4,0.05,Gaussian,0.1,0.18265682458877563,7,2.236301898956299
Cora,LogReg,4,0.05,Gaussian,0.1,0.2859778597785978,NA,0.08942699432373047
Cora,MLP,4,0.05,Gaussian,0.3,0.180811807513237,6,2.1561460494995117
Cora,LogReg,4,0.05,Gaussian,0.3,0.26752767527675275,NA,0.4383728504180908
Cora,MLP,4,0.05,Gaussian,0.5,0.17712177336215973,4,3.0438437461853027
Cora,LogReg,4,0.05,Gaussian,0.5,0.26752767527675275,NA,0.3451805114746094
Cora,LabelProp,4,0.05,Structure,NA,0.15867158671586715,NA,1.1108660697937012
Cora,MLP,4,0.1,Vanilla,NA,0.5977859497070312,151,5.311904191970825
Cora,LogReg,4,0.1,Vanilla,NA,0.3044280442804428,NA,0.3396565914154053
Cora,MLP,4,0.1,Identity,NA,0.3025830388069153,4,3.406545639038086
Cora,LogReg,4,0.1,Identity,NA,0.3025830258302583,NA,0.9305965900421143
Cora,MLP,4,0.1,Shuffled,NA,0.2121771275997162,5,2.7750954627990723
Cora,LogReg,4,0.1,Shuffled,NA,0.3025830258302583,NA,0.11755990982055664
Cora,MLP,4,0.1,Gaussian,0.1,0.18265682458877563,8,2.1604084968566895
Cora,LogReg,4,0.1,Gaussian,0.1,0.23800738007380073,NA,0.09055256843566895
Cora,MLP,4,0.1,Gaussian,0.3,0.1642066389322281,7,2.18756103515625
Cora,LogReg,4,0.1,Gaussian,0.3,0.22509225092250923,NA,0.24720478057861328
Cora,MLP,4,0.1,Gaussian,0.5,0.17158672213554382,4,2.110290050506592
Cora,LogReg,4,0.1,Gaussian,0.5,0.2177121771217712,NA,0.08639168739318848
Cora,LabelProp,4,0.1,Structure,NA,0.23247232472324722,NA,1.1266024112701416
